lval,op,rval,Estimate,Std. Err,z-value,p-value
DEPRESS,~,ENDO,0.9626124452219454,0.5150635799970713,1.8689196491538969,0.061633994149685734
DEPRESS,~,PELVCPN,-4.739318662519846,1.0560680052417029,-4.487702154588678,7.199548544223333e-06
DEPRESS,~,ABBLEED,1.4501052796717404,0.2822332614096101,5.137967341000391,2.7772613253596035e-07
DEPRESS,~,FIBRUTR,-0.307142462065303,0.2733485678091889,-1.1236293079046982,0.26117031744120967
DEPRESS,~,STATUS,0.0860997727039939,0.03183041631974565,2.7049527670763736,0.00683141021810596
DEPRESS,~,SLEEPQL,0.03301859109518307,0.024039928524206562,1.3734895700942755,0.1696002014456821
DEPRESS,~,RESTLES,0.21508011013904024,0.03231173573980171,6.656408428948849,2.805999876898113e-11
DEPRESS,~,OVERHLT,0.10747676475031104,0.026081803455571328,4.120756638982808,3.776301522950831e-05
DEPRESS,~,BODYPAI,0.028754946212779454,0.024463131029432948,1.175440142024639,0.23981867161545267
DEPRESS,~,COURTES,0.0032859097243563094,0.07773797186750953,0.042269043626637005,0.9662842228286763
DEPRESS,~,RESPECT,-0.0642153838979874,0.07310229638381528,-0.878431828734263,0.3797094178359717
DEPRESS,~,INSULTE,0.025730369360437568,0.04194983429871743,0.6133604527875546,0.5396380291767802
DEPRESS,~,HARASSE,-0.01727561458079168,0.03739705554201321,-0.4619511972251847,0.6441163182447729
BLUES,~,ENDO,0.30163504260796936,0.6115905781797691,0.49319766093390416,0.6218729304652935
BLUES,~,PELVCPN,2.4572918094992326,0.8955116629764844,2.7440087171271332,0.006069392619610037
BLUES,~,ABBLEED,0.11729554062457251,0.3009410334408325,0.3897625368102021,0.6967121484879977
BLUES,~,FIBRUTR,-0.741022676801627,0.12384776761227079,-5.983334952920245,2.186145486859914e-09
BLUES,~,STATUS,0.010867724089752001,0.026358905332872256,0.41229800525086824,0.6801210105389974
BLUES,~,SLEEPQL,0.01668972692280646,0.019244274047410588,0.867256768471601,0.38580133816210394
BLUES,~,RESTLES,0.20520724404375207,0.02564889173887264,8.000628102178228,1.3322676295501878e-15
BLUES,~,OVERHLT,0.018684681370824144,0.020958381026818317,0.8915135833261042,0.3726537077081211
BLUES,~,BODYPAI,0.04512784472486791,0.01980516337128898,2.2785898745985587,0.022691456404475563
BLUES,~,COURTES,0.16155899615531338,0.05778176027409729,2.7960206713353086,0.0051736091236112
BLUES,~,RESPECT,-0.2018371468902381,0.055097195441267344,-3.6632925736071216,0.00024899386042531724
BLUES,~,INSULTE,0.015448235478845891,0.033224445399369015,0.4649659397677805,0.6419558480905461
BLUES,~,HARASSE,-0.03890114899767831,0.029310702939157184,-1.3271994560178808,0.1844427123050809
QLTYLIF,~,ENDO,-6.460269367149775,1.4067741618745109,-4.59225762188932,4.384766192355727e-06
QLTYLIF,~,PELVCPN,-2.5031830965885224,1.5728987461821213,-1.5914457956450647,0.11150928494891321
QLTYLIF,~,ABBLEED,0.963372561751599,0.5419065919874374,1.7777465267891674,0.07544549442489745
QLTYLIF,~,FIBRUTR,-2.3706760691031827,0.6328609058784004,-3.745967000140383,0.00017970021435753658
QLTYLIF,~,STATUS,-0.00279047291611004,0.07020152286653945,-0.03974946414446415,0.9682928661291443
QLTYLIF,~,SLEEPQL,0.1217128389449641,0.05089348057730013,2.39152122358202,0.016778713846101523
QLTYLIF,~,RESTLES,-0.34177582838733067,0.06922866228267312,-4.936912214002653,7.936917525430687e-07
QLTYLIF,~,OVERHLT,-0.20952192515494436,0.05218593121928549,-4.014912070276518,5.9467960935144504e-05
QLTYLIF,~,BODYPAI,-0.1464761424035775,0.051892834993315186,-2.8226660273932587,0.004762615518544289
QLTYLIF,~,COURTES,0.13177445722744896,0.1581236062977593,0.8333635964415954,0.40463969908323394
QLTYLIF,~,RESPECT,0.10236179549105985,0.15329623056778632,0.6677385028402807,0.5043005279723749
QLTYLIF,~,INSULTE,-0.11234561780587352,0.08820296913630776,-1.2737169610581054,0.20276374322944157
QLTYLIF,~,HARASSE,0.007606540128982068,0.07876622883845807,0.09657108434740193,0.9230670204857381
