Menopausal Stage,Bothersomeness of Cold Sweats,Cold Sweats,Number of Cold Sweats,Sample Size
Pre-menopause,-0.06408800258413791,-0.1702503833510659,-0.06693073261738902,1276
Early Peri,0.02400085061819482,-0.05636767017484089,0.016086568114596696,4054
Late Peri,-0.07335349093054849,0.17810742242369718,-0.0050074477491836656,908
Post-menopause,-0.0019150571085267808,0.055103864414906986,-0.0013842015233535778,3706
Surgical,0.07006310531779486,0.17994714998842298,0.026635540962429136,614
