Menopausal Stage,Irritability,Mood Changes,Sample Size
Pre-menopause,0.0055037156402710456,-0.05527477451442762,2812
Early Peri,0.0767863718965449,0.06872230064464235,8426
Late Peri,-0.01620338170304765,0.03535921420158893,1823
Post-menopause,-0.1035221586812613,-0.09290548569822722,7724
Surgical,0.14436187800072278,0.19864543153842948,1154
