Menopausal Stage,Bothersomeness of Hot Flashes,Hot Flashes,Number of Hot Flashes,Sample Size
Pre-menopause,-0.07388405193310281,-0.4492610285411932,0.030675564424889962,2228
Early Peri,0.019215797762002187,-0.19948135359431005,0.004014788781332447,6928
Late Peri,0.04490943767982012,0.43161454080404726,0.012812761734910486,1498
Post-menopause,-0.03343372019573256,0.23534963461217415,-0.03466506345629307,6230
Surgical,0.16573609242362777,0.29481839685673916,0.10163727633960416,973
